first name,last name,pet1 type,pet1 age,pet1 gender,pet1 color1,pet1 color2,pet1 color3,pet2 type,pet2 age,pet2 gender,pet2 color1,pet2 color2,pet2 color3
Trescha,Bossom,Oryx gazella,11,Female,Puce,Green,Fuscia,Macropus agilis,67,Female,Crimson,Indigo,Violet
Wilek,Gooder,Paradoxurus hermaphroditus,3,Female,Orange,Puce,Goldenrod,Cervus duvauceli,6,Male,Fuscia,Blue,Teal
Stormie,Stutard,Axis axis,36,Male,Blue,Red,Aquamarine,Gorilla gorilla,6,Female,Indigo,Green,Mauv
Didi,Wrey,Ninox superciliaris,69,Male,Goldenrod,Crimson,Orange,Felis caracal,47,Female,Teal,Crimson,Mauv
Charmane,Parsisson,Suricata suricatta,13,Male,Yellow,Green,Maroon,Phasianus colchicus,14,Female,Fuscia,Violet,Green
Adore,Slader,Ateles paniscus,17,Male,Purple,Aquamarine,Fuscia,Aquila chrysaetos,67,Female,Yellow,Turquoise,Indigo
Lishe,Conisbee,Vanellus armatus,41,Male,Khaki,Indigo,Puce,Lycosa godeffroyi,71,Female,Purple,Purple,Orange
Esme,Brookton,Merops nubicus,91,Male,Fuscia,Puce,Purple,Aegypius tracheliotus,96,Male,Goldenrod,Yellow,Mauv
Jemimah,Salleir,Tiliqua scincoides,60,Male,Goldenrod,Blue,Aquamarine,Oreotragus oreotragus,60,Female,Indigo,Indigo,Teal
Merna,Roadknight,Parus atricapillus,13,Female,Purple,Mauv,Aquamarine,Oncorhynchus nerka,96,Female,Orange,Maroon,Pink
Rivalee,Shimmin,Spermophilus richardsonii,33,Male,Blue,Khaki,Puce,Crotalus adamanteus,20,Female,Yellow,Purple,Orange
Carie,St. Aubyn,Butorides striatus,24,Female,Turquoise,Mauv,Puce,Cynomys ludovicianus,96,Female,Turquoise,Goldenrod,Mauv
Merlina,Beeckx,Lutra canadensis,18,Female,Mauv,Turquoise,Goldenrod,Tockus flavirostris,10,Female,Goldenrod,Maroon,Puce
Saba,Cramphorn,Cynictis penicillata,18,Female,Yellow,Fuscia,Orange,Smithopsis crassicaudata,81,Female,Pink,Green,Fuscia
Keefer,Hanlin,Phylurus milli,62,Male,Crimson,Blue,Aquamarine,Equus hemionus,76,Male,Khaki,Green,Pink
Bethany,O'Dea,Numida meleagris,60,Male,Violet,Blue,Maroon,Stenella coeruleoalba,78,Female,Pink,Teal,Crimson
Yancy,Margrem,Diomedea irrorata,38,Male,Turquoise,Indigo,Goldenrod,Phalacrocorax brasilianus,33,Male,Green,Fuscia,Goldenrod
Gearard,Gooday,Varanus sp.,74,Male,Yellow,Puce,Puce,Phalaropus fulicarius,31,Male,Mauv,Fuscia,Fuscia
Sunny,Spurritt,Macropus agilis,91,Male,Puce,Turquoise,Turquoise,Merops nubicus,46,Female,Khaki,Pink,Mauv
Rodina,Smitham,Aonyx cinerea,88,Male,Turquoise,Red,Mauv,Butorides striatus,42,Female,Teal,Pink,Crimson
Tabbie,Fumagall,Genetta genetta,71,Female,Green,Khaki,Goldenrod,Trichoglossus chlorolepidotus,74,Male,Pink,Puce,Turquoise
Abey,Hosten,Passer domesticus,93,Male,Blue,Indigo,Maroon,Arctogalidia trivirgata,46,Male,Green,Blue,Maroon
Allsun,Cubbino,Otocyon megalotis,10,Male,Turquoise,Orange,Violet,Coluber constrictor,2,Female,Khaki,Violet,Pink
Egon,Doog,Graspus graspus,31,Female,Crimson,Purple,Yellow,Tamiasciurus hudsonicus,8,Male,Crimson,Indigo,Blue
Juliann,Favel,Leptoptilus dubius,17,Male,Teal,Khaki,Pink,Macropus fuliginosus,34,Female,Turquoise,Blue,Maroon
Faye,Haggett,Paradoxurus hermaphroditus,42,Female,Purple,Maroon,Mauv,Bubalornis niger,62,Female,Yellow,Mauv,Mauv
Audi,Duckels,Bucorvus leadbeateri,45,Male,Blue,Mauv,Red,Plocepasser mahali,55,Female,Khaki,Indigo,Yellow
Sylvester,Guisby,Phascogale calura,27,Male,Yellow,Pink,Khaki,Nectarinia chalybea,92,Male,Khaki,Yellow,Pink
Rockey,Dyble,Larus dominicanus,68,Female,Aquamarine,Indigo,Orange,Otaria flavescens,70,Male,Pink,Fuscia,Blue
Gilberta,Spender,Ardea golieth,80,Male,Orange,Turquoise,Mauv,Crocuta crocuta,27,Female,Puce,Orange,Red
Roseann,Symcox,Dasyurus maculatus,69,Male,Violet,Indigo,Blue,Ammospermophilus nelsoni,48,Female,Purple,Puce,Goldenrod
Clarance,Cheverell,Pituophis melanaleucus,64,Female,Turquoise,Blue,Purple,Varanus sp.,29,Male,Goldenrod,Violet,Green
Karlis,Dumbare,Echimys chrysurus,94,Female,Goldenrod,Indigo,Orange,Phoenicopterus ruber,98,Male,Mauv,Teal,Goldenrod
Larine,Matskiv,Dasypus septemcincus,64,Female,Puce,Yellow,Turquoise,Leprocaulinus vipera,72,Female,Khaki,Orange,Mauv
Kettie,Gladwell,Ara ararauna,27,Female,Goldenrod,Fuscia,Orange,Haematopus ater,46,Female,Puce,Maroon,Mauv
Tirrell,Shilliday,Terrapene carolina,3,Female,Crimson,Green,Red,Mazama gouazoubira,61,Male,Violet,Puce,Puce
